,Fall,College,Total,Male,Female,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
0,1981,Business,1433,816,617,1303,37.0,68.0,15.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1401,32.0
1,1981,Business,172,109,63,118,9.0,1.0,0.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,108,64.0
2,1982,Business,1408,773,635,1279,30.0,70.0,21.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1382,26.0
3,1982,Business,146,89,57,106,6.0,1.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,91,55.0
4,1983,Business,1392,703,689,1251,37.0,73.0,20.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1361,31.0
5,1983,Business,137,88,49,100,5.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,81,56.0
6,2003,Business,859,447,412,552,141.0,31.0,36.0,2.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,711,148.0
7,2003,Business,20,12,8,6,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5,15.0
8,2003,Business,98,47,51,4,7.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,3,95.0
9,2003,Business,84,41,43,60,10.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,67,17.0
10,2003,Business,54,22,32,40,8.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,48,6.0
11,2003,Business,33,22,11,24,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31,2.0
12,2003,Business,83,39,44,57,19.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,77,6.0
13,1980,Business,1383,842,541,1268,36.0,62.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1362,21.0
14,1980,Business,146,86,60,102,7.0,1.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,92,54.0
15,1984,Business,1207,578,629,1068,36.0,62.0,19.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1180,27.0
16,1984,Business,108,70,38,76,6.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,65,43.0
17,1985,Business,1082,503,579,965,29.0,53.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1054,28.0
18,1985,Business,130,83,47,85,11.0,6.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,87,43.0
19,1986,Business,942,435,507,820,31.0,58.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,915,27.0
20,1986,Business,139,85,54,79,10.0,7.0,1.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,79,60.0
21,1987,Business,904,430,474,773,48.0,60.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,870,34.0
22,1987,Business,135,74,61,74,11.0,3.0,2.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,76,59.0
23,1988,Business,1019,491,528,830,67.0,75.0,28.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,972,47.0
24,1988,Business,117,63,54,57,6.0,1.0,3.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50,67.0
25,1989,Business,976,484,492,760,69.0,85.0,40.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,923,53.0
26,1989,Business,109,60,49,59,7.0,0.0,2.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,52,57.0
27,1990,Business,1087,553,534,799,113.0,106.0,41.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1016,71.0
28,1990,Business,93,60,33,44,9.0,2.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,39,54.0
29,1991,Business,1138,563,575,836,130.0,91.0,53.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1067,71.0
